Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,sample_fp_trace,1.1786184310913086,Pass,3.078439474105835,997741,1241646,0.8036,111265,71161,0.0896,0.0573,63.9563%,71.3221,1139424,16.0119,1142.0038,997741,1241646,0.8036,111265,71161,0.0896,0.0573,63.9563%,71.3221,1139424,16.0119,1142.0038
int,sample_int_trace,1.3341646194458008,Pass,2.648175001144409,997301,1283626,0.7769,128874,60909,0.1004,0.0475,47.2624%,61.0738,1103065,18.1100,1106.0502,997301,1283626,0.7769,128874,60909,0.1004,0.0475,47.2624%,61.0738,1103065,18.1100,1106.0502
